split,scene_id,observation_index,side_m,visible_neighbours,occupied_cells,multi_neighbour_cells
train,33,0,2.0,5,4,1
train,33,0,4.0,13,10,2
train,33,0,8.0,36,13,10
train,33,1,2.0,5,4,1
train,33,1,4.0,12,10,1
train,33,1,8.0,36,13,10
train,33,2,2.0,6,6,0
train,33,2,4.0,13,9,3
train,33,2,8.0,35,13,10
train,33,3,2.0,5,5,0
train,33,3,4.0,13,10,2
train,33,3,8.0,34,13,10
train,33,4,2.0,5,5,0
train,33,4,4.0,13,10,2
train,33,4,8.0,35,13,10
train,33,5,2.0,5,5,0
train,33,5,4.0,13,10,3
train,33,5,8.0,37,13,10
train,33,6,2.0,5,5,0
train,33,6,4.0,14,11,3
train,33,6,8.0,37,13,9
train,33,7,2.0,5,5,0
train,33,7,4.0,12,9,3
train,33,7,8.0,39,12,10
train,34,0,2.0,0,0,0
train,34,0,4.0,2,2,0
train,34,0,8.0,23,8,7
train,34,1,2.0,0,0,0
train,34,1,4.0,3,3,0
train,34,1,8.0,25,8,7
train,34,2,2.0,0,0,0
train,34,2,4.0,6,5,1
train,34,2,8.0,25,10,6
train,34,3,2.0,0,0,0
train,34,3,4.0,5,4,1
train,34,3,8.0,25,10,6
train,34,4,2.0,0,0,0
train,34,4,4.0,7,6,1
train,34,4,8.0,24,10,5
train,34,5,2.0,0,0,0
train,34,5,4.0,7,7,0
train,34,5,8.0,24,10,5
train,34,6,2.0,0,0,0
train,34,6,4.0,7,6,1
train,34,6,8.0,25,11,5
train,34,7,2.0,0,0,0
train,34,7,4.0,6,5,1
train,34,7,8.0,26,11,5
train,35,0,2.0,1,1,0
train,35,0,4.0,6,6,0
train,35,0,8.0,24,10,6
train,35,1,2.0,1,1,0
train,35,1,4.0,7,6,1
train,35,1,8.0,24,10,6
train,35,2,2.0,1,1,0
train,35,2,4.0,8,6,2
train,35,2,8.0,24,10,6
train,35,3,2.0,1,1,0
train,35,3,4.0,9,7,2
train,35,3,8.0,24,10,6
train,35,4,2.0,1,1,0
train,35,4,4.0,9,7,2
