variant,scene_id,seed,primary_id,ADE_delta,FDE_delta
small_grid,73,43,17,0.044410765171051025,0.04057633876800537
small_grid,74,43,33,0.11023634672164917,0.20769357681274414
small_grid,75,43,49,0.12565302848815918,0.29573798179626465
small_grid,76,43,1,0.0968860387802124,0.22941720485687256
small_grid,77,43,17,-0.024448692798614502,-0.11672145128250122
small_grid,78,43,33,0.03690385818481445,0.00927591323852539
small_grid,79,43,49,0.07111436128616333,0.23592698574066184
small_grid,68,44,1,0.002188444137573242,-0.04641401767730713
small_grid,69,44,17,0.05558866262435913,-0.027545452117919922
small_grid,70,44,33,0.21042895317077637,0.3921900987625122
small_grid,71,44,49,0.09535771608352661,0.0826042890548706
small_grid,72,44,1,-0.023132801055908203,-0.0899956226348877
small_grid,73,44,17,0.045459628105163574,-0.09622311592102051
small_grid,74,44,33,0.05822384357452398,0.03199046850204457
small_grid,75,44,49,0.08525091409683216,0.09611630439758323
small_grid,76,44,1,0.05447453260421753,0.008764982223510742
small_grid,77,44,17,0.01602637767791748,-0.0776207447052002
small_grid,78,44,33,0.07094335556030273,0.04988253116607666
small_grid,79,44,49,0.1426372528076172,0.1918964385986328
large_grid,68,42,1,0.031495630741119385,-0.009501814842224121
large_grid,69,42,17,0.054248690605163574,0.010331392288208008
large_grid,70,42,33,0.24539309740066528,0.4897227883338928
large_grid,71,42,49,0.038597822189331055,0.06043446063995361
large_grid,72,42,1,0.013421356678009033,-0.03863418102264404
large_grid,73,42,17,0.13562357425689697,0.20105266571044922
large_grid,74,42,33,0.24169179797172546,0.4609115719795227
large_grid,75,42,49,0.12889784574508667,0.2324049472808838
large_grid,76,42,1,0.10806584358215332,0.1700800657272341
large_grid,77,42,17,0.10766887664794922,0.1323636770248413
large_grid,78,42,33,0.13133543729782104,0.15799105167388916
large_grid,79,42,49,0.1367330551147461,0.20754718780517578
large_grid,68,43,1,0.20725178718566895,0.43390822410583496
large_grid,69,43,17,0.09511089324951172,0.15995657444000244
large_grid,70,43,33,0.29558160901069647,0.6380626559257507
large_grid,71,43,49,0.05858731269836426,0.16874730587005615
large_grid,72,43,1,0.182603120803833,0.38715648651123047
large_grid,73,43,17,0.19998055696487427,0.36506175994873047
large_grid,74,43,33,0.26543852686882025,0.519559383392334
large_grid,75,43,49,0.21905761957168568,0.48781049251556374
large_grid,76,43,1,0.24213898181915283,0.49002230167388916
large_grid,77,43,17,0.1332433819770813,0.1844658851623533
large_grid,78,43,33,0.16304022073745728,0.26944732666015625
large_grid,79,43,49,0.0635271668434143,0.14090752601623535
large_grid,68,44,1,-0.10653233528137207,-0.18736648559570312
large_grid,69,44,17,-0.16026455163955688,-0.39063799381256115
